State_Code,Date,Days,State_Name,GoogleNonEssential,avg_google_7d,State_code,National_google_7d
1,27-Feb-20,1,Aguascalientes,3.8,-0.057142999,Ags,1.890146
1,28-Feb-20,2,Aguascalientes,6.5999999,0.85714298,Ags,2.4199331
1,29-Feb-20,3,Aguascalientes,11.2,2.65714,Ags,2.8990023
1,1-Mar-20,4,Aguascalientes,7.4000001,3.77143,Ags,3.2682176
1,2-Mar-20,5,Aguascalientes,2.4000001,4.1142902,Ags,3.4790695
1,3-Mar-20,6,Aguascalientes,-0.80000001,4.22857,Ags,3.57763
1,4-Mar-20,7,Aguascalientes,0,4.3714299,Ags,3.9831676
1,5-Mar-20,8,Aguascalientes,1.6,4.0571399,Ags,4.2334437
1,6-Mar-20,9,Aguascalientes,-0.60000002,3.0285699,Ags,3.8093014
1,7-Mar-20,10,Aguascalientes,-0.40000001,1.37143,Ags,3.3428574
1,8-Mar-20,11,Aguascalientes,2.2,0.62857097,Ags,2.9867105
1,9-Mar-20,12,Aguascalientes,-11.2,-1.31429,Ags,1.1049826
1,10-Mar-20,13,Aguascalientes,1,-1.05714,Ags,1.0398666
1,11-Mar-20,14,Aguascalientes,1.4,-0.85714298,Ags,0.89568043
1,12-Mar-20,15,Aguascalientes,4,-0.51428598,Ags,0.96168196
1,13-Mar-20,16,Aguascalientes,4.1999998,0.17142899,Ags,1.3242532
1,14-Mar-20,17,Aguascalientes,4.4000001,0.85714298,Ags,1.990034
1,15-Mar-20,18,Aguascalientes,-3.8,0,Ags,1.9140642
1,16-Mar-20,19,Aguascalientes,-14.2,-0.42857099,Ags,1.2489482
1,17-Mar-20,20,Aguascalientes,-2.5999999,-0.94285703,Ags,0.64473975
1,18-Mar-20,21,Aguascalientes,-11,-2.7142899,Ags,-0.84828395
1,19-Mar-20,22,Aguascalientes,-14.6,-5.3714299,Ags,-2.9993358
1,20-Mar-20,23,Aguascalientes,-21.200001,-9,Ags,-6.0511632
1,21-Mar-20,24,Aguascalientes,-22.799999,-12.8857,Ags,-9.8126249
1,22-Mar-20,25,Aguascalientes,-31,-16.7714,Ags,-13.846058
1,23-Mar-20,26,Aguascalientes,-29.799999,-19,Ags,-15.72114
1,24-Mar-20,27,Aguascalientes,-32.400002,-23.257099,Ags,-19.699438
1,25-Mar-20,28,Aguascalientes,-35.799999,-26.799999,Ags,-23.121817
