state_code,state_name,state_short,country ,date,days,daily_cases,total_cases,deaths_daily,deaths_dotal,sdchool_closure,days_since_schools_closed,workplace_closure,days_workplace_closure,public_events_cancelled,public_events_cancelled_days,public_transit_suspended,days_since_transit_suspend,information_campaign,information_campaign_days,internal_travel_control,days_since_internal_travel_ban,international_travel_controls,days_since_international_ban,use_face_masks,days_use_face_mask,stay_at_home,days_since_stay_at_home,rest_on_gatherings,days_rest_on_gatherings,mobility_index,policy_index,policy_accumulated,ranking_mobility_daily,ranking_mobility_accumulated,ranking_policy_daily,ranking_policy_accumulated,facemask_index,test_rate,testpositivity_rate,ranking_facemask
0,Nacional,Nacional,Bolivia,2020-03-10,0,,,,,,,,,,,,,,,,,,,,,,,,,1.968274,0,0,,,,,0,0,0,
0,Nacional,Nacional,Bolivia,2020-03-11,1,,,,,,,,,,,,,,,,,,,,,,,,,2.109489,0,0,,,,,0,0.006302307,0,
0,Nacional,Nacional,Bolivia,2020-03-12,2,,,,,,,,,,,,,,,,,,,,,,,,,2.044794,19.30037,19.30037,,,,,0,0.013559509,0,
0,Nacional,Nacional,Bolivia,2020-03-13,3,,,,,,,,,,,,,,,,,,,,,,,,,0.8623965,29.20957,48.50994,,,,,0,0.02210836,0,
0,Nacional,Nacional,Bolivia,2020-03-14,4,,,,,,,,,,,,,,,,,,,,,,,,,-0.6979865,32.94167,81.45161,,,,,0,0.032345689,0,
0,Nacional,Nacional,Bolivia,2020-03-15,5,,,,,,,,,,,,,,,,,,,,,,,,,-2.816227,35.17419,116.6258,,,,,0,0.04473456,0,
0,Nacional,Nacional,Bolivia,2020-03-16,6,,,,,,,,,,,,,,,,,,,,,,,,,-6.453175,36.87575,153.50155,,,,,0,0.059817795,0,
0,Nacional,Nacional,Bolivia,2020-03-17,7,,,,,,,,,,,,,,,,,,,,,,,,,-10.07827,38.02388,191.52543,,,,,0,0.078238047,0.207069101,
0,Nacional,Nacional,Bolivia,2020-03-18,8,,,,,,,,,,,,,,,,,,,,,,,,,-15.26848,38.88487,230.4103,,,,,0,0.094448412,0.159353166,
0,Nacional,Nacional,Bolivia,2020-03-19,9,,,,,,,,,,,,,,,,,,,,,,,,,-20.86123,46.43741,276.84771,,,,,0,0.11464504,0.159353166,
0,Nacional,Nacional,Bolivia,2020-03-20,10,,,,,,,,,,,,,,,,,,,,,,,,,-26.07232,49.37438,326.22209,,,,,0,0.139358994,0.154670477,
0,Nacional,Nacional,Bolivia,2020-03-21,11,,,,,,,,,,,,,,,,,,,,,,,,,-29.39979,51.41916,377.64125,,,,,0,0.168953517,0.052682299,
0,Nacional,Nacional,Bolivia,2020-03-22,12,,,,,,,,,,,,,,,,,,,,,,,,,-37.62425,62.25182,439.89307,,,,,1.31769,0.203476235,0.071316489,
0,Nacional,Nacional,Bolivia,2020-03-23,13,,,,,,,,,,,,,,,,,,,,,,,,,-45.69894,66.86389,506.75696,,,,,1.795709,0.242547988,0.069410434,
0,Nacional,Nacional,Bolivia,2020-03-24,14,,,,,,,,,,,,,,,,,,,,,,,,,-53.59559,70.20763,576.96459,,,,,2.124712,0.285332667,0.075123434,
0,Nacional,Nacional,Bolivia,2020-03-25,15,,,,,,,,,,,,,,,,,,,,,,,,,-60.2813,72.83809,649.80268,,,,,2.3755,0.330606769,0.075094935,
0,Nacional,Nacional,Bolivia,2020-03-26,16,,,,,,,,,,,,,,,,,,,,,,,,,-66.78339,74.99369,724.79637,,,,,4.461585,0.376926626,0.101163184,
0,Nacional,Nacional,Bolivia,2020-03-27,17,,,,,,,,,,,,,,,,,,,,,,,,,-72.3526,76.80637,801.60274,,,,,5.333666,0.422880474,0.125121118,
0,Nacional,Nacional,Bolivia,2020-03-28,18,,,,,,,,,,,,,,,,,,,,,,,,,-80.9079,78.35899,879.96173,,,,,5.972037,0.467392574,0.134511102,
0,Nacional,Nacional,Bolivia,2020-03-29,19,,,,,,,,,,,,,,,,,,,,,,,,,-83.05213,79.70768,959.66941,,,,,6.480552,0.510016771,0.12954545,
0,Nacional,Nacional,Bolivia,2020-03-30,20,,,,,,,,,,,,,,,,,,,,,,,,,-82.99437,80.89244,1040.56185,,,,,6.90262,0.551136194,0.149220927,
0,Nacional,Nacional,Bolivia,2020-03-31,21,,,,,,,,,,,,,,,,,,,,,,,,,-83.00969,81.94288,1122.50473,,,,,7.261931,0.592001671,0.160636485,
0,Nacional,Nacional,Bolivia,2020-04-01,22,,,,,,,,,,,,,,,,,,,,,,,,,-82.9518,82.88157,1205.3863,,,,,7.573271,0.634583616,0.165571619,
0,Nacional,Nacional,Bolivia,2020-04-02,23,,,,,,,,,,,,,,,,,,,,,,,,,-82.41481,83.72606,1289.11236,,,,,7.846645,0.681257166,0.151115552,
0,Nacional,Nacional,Bolivia,2020-04-03,24,,,,,,,,,,,,,,,,,,,,,,,,,-81.69551,84.4903,1373.60266,,,,,8.089211,0.73437062,0.123280004,
0,Nacional,Nacional,Bolivia,2020-04-04,25,,,,,,,,,,,,,,,,,,,,,,,,,-81.62651,85.18549,1458.78815,,,,,8.306287,0.795774915,0.104729856,
0,Nacional,Nacional,Bolivia,2020-04-05,26,,,,,,,,,,,,,,,,,,,,,,,,,-81.57899,85.82085,1544.609,,,,,8.501951,0.86641291,0.110708567,
0,Nacional,Nacional,Bolivia,2020-04-06,27,,,,,,,,,,,,,,,,,,,,,,,,,-81.05978,86.40394,1631.01294,,,,,8.679404,0.946069379,0.107333292,
