state_code,state_name,state_short,country ,date,days,daily_cases,total_cases,deaths_daily,deaths_dotal,sdchool_closure,days_since_schools_closed,workplace_closure,days_workplace_closure,public_events_cancelled,public_events_cancelled_days,public_transit_suspended,days_since_transit_suspend,information_campaign,information_campaign_days,internal_travel_control,days_since_internal_travel_ban,international_travel_controls,days_since_international_ban,use_face_masks,days_use_face_mask,stay_at_home,days_since_stay_at_home,rest_on_gatherings,days_rest_on_gatherings,mobility_index,policy_index,policy_accumulated,ranking_mobility_accumulated,ranking_policy_accumulated,facemask_index,test_rate,testpositivity_rate,ranking_facemask
0,Nacional,Nacional,Brazil,2020-02-25,0,,,,,,,,,,,,,,,,,,,,,,,,,-0.0990476,0,0,,,0,0,0,
0,Nacional,Nacional,Brazil,2020-02-26,1,,,,,,,,,,,,,,,,,,,,,,,,,-2.541361,0,0,,,0,0.0127031,0,
0,Nacional,Nacional,Brazil,2020-02-27,2,,,,,,,,,,,,,,,,,,,,,,,,,-3.64517,0,0,,,0,0.0381094,0,
0,Nacional,Nacional,Brazil,2020-02-28,3,,,,,,,,,,,,,,,,,,,,,,,,,-4.889524,0,0,,,0,0.0762188,0,
0,Nacional,Nacional,Brazil,2020-02-29,4,,,,,,,,,,,,,,,,,,,,,,,,,-6.044898,0,0,,,0,0.1270314,0,
0,Nacional,Nacional,Brazil,2020-03-01,5,,,,,,,,,,,,,,,,,,,,,,,,,-8.647619,0,0,,,0,0.190547,0,
0,Nacional,Nacional,Brazil,2020-03-02,6,,,,,,,,,,,,,,,,,,,,,,,,,-7.811701,0,0,,,0,0.2667659,0,
0,Nacional,Nacional,Brazil,2020-03-03,7,,,,,,,,,,,,,,,,,,,,,,,,,-4.909524,0,0,,,0,0.3556878,0.0005561,
0,Nacional,Nacional,Brazil,2020-03-04,8,,,,,,,,,,,,,,,,,,,,,,,,,-2.444626,0,0,,,0,0.4446098,0.0001668,
0,Nacional,Nacional,Brazil,2020-03-05,9,,,,,,,,,,,,,,,,,,,,,,,,,-1.437687,0,0,,,0,0.5384057,0.0003151,
0,Nacional,Nacional,Brazil,2020-03-06,10,,,,,,,,,,,,,,,,,,,,,,,,,-0.2712924,0,0,,,0,0.6395522,0.0004931,
0,Nacional,Nacional,Brazil,2020-03-07,11,,,,,,,,,,,,,,,,,,,,,,,,,0.7957823,0,0,,,0,0.7495263,0.0005032,
0,Nacional,Nacional,Brazil,2020-03-08,12,,,,,,,,,,,,,,,,,,,,,,,,,2.334966,0,0,,,0,0.8693438,0.0006144,
0,Nacional,Nacional,Brazil,2020-03-09,13,,,,,,,,,,,,,,,,,,,,,,,,,3.077959,0,0,,,0,0.9984676,0.0006144,
0,Nacional,Nacional,Brazil,2020-03-10,14,,,,,,,,,,,,,,,,,,,,,,,,,3.697279,0,0,,,0,1.139684,0.0007097,
0,Nacional,Nacional,Brazil,2020-03-11,15,,,,,,,,,,,,,,,,,,,,,,,,,3.926939,0,0,,,0,1.293153,0.0022991,
0,Nacional,Nacional,Brazil,2020-03-12,16,,,,,,,,,,,,,,,,,,,,,,,,,3.681496,0,0,,,0,1.457733,0.0044934,
0,Nacional,Nacional,Brazil,2020-03-13,17,,,,,,,,,,,,,,,,,,,,,,,,,3.357007,0.0641629,0.0641629,,,0,1.632991,0.0032629,
0,Nacional,Nacional,Brazil,2020-03-14,18,,,,,,,,,,,,,,,,,,,,,,,,,2.702041,0.1630095,0.2271724,,,0,1.816546,0.008218,
0,Nacional,Nacional,Brazil,2020-03-15,19,,,,,,,,,,,,,,,,,,,,,,,,,1.692381,0.4569565,0.6841289,,,0,2.008355,0.0051336,
0,Nacional,Nacional,Brazil,2020-03-16,20,,,,,,,,,,,,,,,,,,,,,,,,,0.6337415,0.5960917,1.2802206,,,0,2.209609,0.0083984,
0,Nacional,Nacional,Brazil,2020-03-17,21,,,,,,,,,,,,,,,,,,,,,,,,,-1.225306,2.904972,4.1851926,,,0,2.418795,0.0090661,
0,Nacional,Nacional,Brazil,2020-03-18,22,,,,,,,,,,,,,,,,,,,,,,,,,-3.816871,4.545663,8.7308556,,,0,2.635992,0.0242104,
0,Nacional,Nacional,Brazil,2020-03-19,23,,,,,,,,,,,,,,,,,,,,,,,,,-7.535646,7.635698,16.3665536,,,0,2.859407,0.0407094,
0,Nacional,Nacional,Brazil,2020-03-20,24,,,,,,,,,,,,,,,,,,,,,,,,,-12.16109,11.01283,27.3793836,,,0,3.100113,0.0427671,
0,Nacional,Nacional,Brazil,2020-03-21,25,,,,,,,,,,,,,,,,,,,,,,,,,-18.19279,13.71025,41.0896336,,,0,3.346881,0.0580757,
0,Nacional,Nacional,Brazil,2020-03-22,26,,,,,,,,,,,,,,,,,,,,,,,,,-25.12898,15.99677,57.0864036,,,0,3.598861,0.0784672,
0,Nacional,Nacional,Brazil,2020-03-23,27,,,,,,,,,,,,,,,,,,,,,,,,,-31.77116,18.00192,75.0883236,,,0,3.855376,0.1318834,
0,Nacional,Nacional,Brazil,2020-03-24,28,,,,,,,,,,,,,,,,,,,,,,,,,-38.34327,21.45867,96.5469936,,,0,4.115151,0.130706,
0,Nacional,Nacional,Brazil,2020-03-25,29,,,,,,,,,,,,,,,,,,,,,,,,,-44.04231,23.52667,120.0736636,,,0,4.378006,0.1470347,
0,Nacional,Nacional,Brazil,2020-03-26,30,,,,,,,,,,,,,,,,,,,,,,,,,-48.32681,25.19799,145.2716536,,,0.2608202,4.642129,0.1487498,
0,Nacional,Nacional,Brazil,2020-03-27,31,,,,,,,,,,,,,,,,,,,,,,,,,-51.55932,26.61935,171.8910036,,,0.3628575,4.894602,0.1517459,
0,Nacional,Nacional,Brazil,2020-03-28,32,,,,,,,,,,,,,,,,,,,,,,,,,-52.72599,27.89796,199.7889636,,,0.4374089,5.147786,0.1579131,
0,Nacional,Nacional,Brazil,2020-03-29,33,,,,,,,,,,,,,,,,,,,,,,,,,-52.67823,29.01103,228.7999936,,,0.4973648,5.401795,0.1427595,
0,Nacional,Nacional,Brazil,2020-03-30,34,,,,,,,,,,,,,,,,,,,,,,,,,-52.46299,30.01411,258.8141036,,,0.5478322,5.656869,0.1310401,
0,Nacional,Nacional,Brazil,2020-03-31,35,,,,,,,,,,,,,,,,,,,,,,,,,-51.2664,30.92554,289.7396436,,,0.5914848,5.913186,0.1374337,
0,Nacional,Nacional,Brazil,2020-04-01,36,,,,,,,,,,,,,,,,,,,,,,,,,-49.8849,31.66378,321.4034236,,,0.6299408,6.170836,0.1557523,
0,Nacional,Nacional,Brazil,2020-04-02,37,,,,,,,,,,,,,,,,,,,,,,,,,-48.76368,32.73007,354.1334936,,,0.6642722,6.429803,0.1683494,
0,Nacional,Nacional,Brazil,2020-04-03,38,,,,,,,,,,,,,,,,,,,,,,,,,-47.76408,33.50023,387.6337236,,,0.6952347,6.689984,0.1764356,
0,Nacional,Nacional,Brazil,2020-04-04,39,,,,,,,,,,,,,,,,,,,,,,,,,-46.71932,34.20574,421.8394636,,,0.7233852,6.951226,0.1918075,
0,Nacional,Nacional,Brazil,2020-04-05,40,,,,,,,,,,,,,,,,,,,,,,,,,-45.91211,34.83904,456.6785036,,,0.7491491,7.213381,0.2048375,
0,Nacional,Nacional,Brazil,2020-04-06,41,,,,,,,,,,,,,,,,,,,,,,,,,-44.99646,35.43321,492.1117136,,,0.8472282,7.476364,0.2213593,
0,Nacional,Nacional,Brazil,2020-04-07,42,,,,,,,,,,,,,,,,,,,,,,,,,-44.01605,36.00838,528.1200936,,,0.898697,7.74021,0.2350279,
