state_code,state_name,state_short,country ,date,days,daily_cases,total_cases,deaths_daily,deaths_dotal,sdchool_closure,days_since_schools_closed,workplace_closure,days_workplace_closure,public_events_cancelled,public_events_cancelled_days,public_transit_suspended,days_since_transit_suspend,information_campaign,information_campaign_days,internal_travel_control,days_since_internal_travel_ban,international_travel_controls,days_since_international_ban,use_face_masks,days_use_face_mask,stay_at_home,days_since_stay_at_home,rest_on_gatherings,days_rest_on_gatherings,mobility_index,policy_index,policy_accumulated,ranking_mobility_daily,ranking_mobility_accumulated,ranking_policy_daily,ranking_policy_accumulated,facemask_index,test_rate,testpositivity_rate,ranking_facemask
0,Nacional,Nacional,Chile,2020-03-01,9,,,,,,,,,,,,,,,,,,,,,,,,,1.617612,0,0,,,,,0,0,0,
0,Nacional,Nacional,Chile,2020-03-02,10,,,,,,,,,,,,,,,,,,,,,,,,,2.250746,1.640157,1.640157,,,,,0,0,0,
0,Nacional,Nacional,Chile,2020-03-03,11,,,,,,,,,,,,,,,,,,,,,,,,,2.648229,1.915291,3.555448,,,,,0,0.180814167,0,
0,Nacional,Nacional,Chile,2020-03-04,12,,,,,,,,,,,,,,,,,,,,,,,,,3.071445,2.117433,5.672881,,,,,0,0.377959455,0,
0,Nacional,Nacional,Chile,2020-03-05,13,,,,,,,,,,,,,,,,,,,,,,,,,3.336363,2.274488,7.947369,,,,,0,0.59555458,0,
0,Nacional,Nacional,Chile,2020-03-06,14,,,,,,,,,,,,,,,,,,,,,,,,,3.279879,2.400944,10.348313,,,,,0,0.839449442,0,
0,Nacional,Nacional,Chile,2020-03-07,15,,,,,,,,,,,,,,,,,,,,,,,,,2.668186,2.505381,12.853694,,,,,0,1.117319289,0,
0,Nacional,Nacional,Chile,2020-03-08,16,,,,,,,,,,,,,,,,,,,,,,,,,2.631515,2.593316,15.44701,,,,,0,1.438024835,0,
0,Nacional,Nacional,Chile,2020-03-09,17,,,,,,,,,,,,,,,,,,,,,,,,,2.45489,2.6685,18.11551,,,,,0,1.810382132,0.004217379,
0,Nacional,Nacional,Chile,2020-03-10,18,,,,,,,,,,,,,,,,,,,,,,,,,2.149708,2.733595,20.849105,,,,,0,2.060985885,0.005111704,
0,Nacional,Nacional,Chile,2020-03-11,19,,,,,,,,,,,,,,,,,,,,,,,,,1.69018,2.790551,23.639656,,,,,0,2.359435486,0.007696682,
0,Nacional,Nacional,Chile,2020-03-12,20,,,,,,,,,,,,,,,,,,,,,,,,,1.203671,2.840835,26.480491,,,,,0,2.704386495,0.005734166,
0,Nacional,Nacional,Chile,2020-03-13,21,,,,,,,,,,,,,,,,,,,,,,,,,0.9866395,7.735967,34.216458,,,,,0,3.091048785,0.009628253,
0,Nacional,Nacional,Chile,2020-03-14,22,,,,,,,,,,,,,,,,,,,,,,,,,0.765228,9.627433,43.843891,,,,,0,3.511901783,0.012836861,
0,Nacional,Nacional,Chile,2020-03-15,23,,,,,,,,,,,,,,,,,,,,,,,,,-0.6051134,10.98933,54.833221,,,,,0,3.957930614,0.013260998,
