V1,location_name,date,location_id,deaths_mean_smoothed,deaths_lower_smoothed,deaths_upper_smoothed
47601,Mexico,2020-02-04,130,0,0,0
47602,Mexico,2020-02-05,130,0,0,0
47603,Mexico,2020-02-06,130,0,0,0
47604,Mexico,2020-02-07,130,0,0,0
47605,Mexico,2020-02-08,130,0,0,0
47606,Mexico,2020-02-09,130,0,0,0
47607,Mexico,2020-02-10,130,0,0,0
47608,Mexico,2020-02-11,130,0,0,0
47609,Mexico,2020-02-12,130,0,0,0
47610,Mexico,2020-02-13,130,0,0,0
47611,Mexico,2020-02-14,130,0,0,0
47612,Mexico,2020-02-15,130,0,0,0
47613,Mexico,2020-02-16,130,0,0,0
47614,Mexico,2020-02-17,130,0,0,0
47615,Mexico,2020-02-18,130,0,0,0
47616,Mexico,2020-02-19,130,0,0,0
47617,Mexico,2020-02-20,130,0,0,0
47618,Mexico,2020-02-21,130,0,0,0
47619,Mexico,2020-02-22,130,0,0,0
47620,Mexico,2020-02-23,130,0,0,0
47621,Mexico,2020-02-24,130,0,0,0
47622,Mexico,2020-02-25,130,0,0,0
47623,Mexico,2020-02-26,130,0,0,0
47624,Mexico,2020-02-27,130,0,0,0
47625,Mexico,2020-02-28,130,0,0,0
47626,Mexico,2020-02-29,130,0,0,0
47627,Mexico,2020-03-01,130,0,0,0
47628,Mexico,2020-03-02,130,0,0,0
47629,Mexico,2020-03-03,130,0,0,0
47630,Mexico,2020-03-04,130,0,0,0
47631,Mexico,2020-03-05,130,0,0,0
47632,Mexico,2020-03-06,130,0,0,0
47633,Mexico,2020-03-07,130,0,0,0
47634,Mexico,2020-03-08,130,0.096105086,0.096105086,0.096105086
47635,Mexico,2020-03-09,130,0.105869065,0.105869065,0.105869065
47636,Mexico,2020-03-10,130,0.117208938,0.117208938,0.117208938
47637,Mexico,2020-03-11,130,0.130453283,0.130453283,0.130453283
47638,Mexico,2020-03-12,130,0.146009389,0.146009389,0.146009389
47639,Mexico,2020-03-13,130,0.164384492,0.164384492,0.164384492
47640,Mexico,2020-03-14,130,0.186213514,0.186213514,0.186213514
47641,Mexico,2020-03-15,130,0.212295581,0.212295581,0.212295581
47642,Mexico,2020-03-16,130,0.243642487,0.243642487,0.243642487
47643,Mexico,2020-03-17,130,0.281543563,0.281543563,0.281543563
47644,Mexico,2020-03-18,130,0.327653237,0.327653237,0.327653237
47645,Mexico,2020-03-19,130,0.384110282,0.384110282,0.384110282
47646,Mexico,2020-03-20,130,0.45370163,0.45370163,0.45370163
47647,Mexico,2020-03-21,130,0.540089417,0.540089417,0.540089417
47648,Mexico,2020-03-22,130,0.648128348,0.648128348,0.648128348
47649,Mexico,2020-03-23,130,0.784313093,0.784313093,0.784313093
47650,Mexico,2020-03-24,130,0.957414088,0.957414088,0.957414088
47651,Mexico,2020-03-25,130,1.179388173,1.179388173,1.179388173
47652,Mexico,2020-03-26,130,1.466692558,1.466692558,1.466692558
47653,Mexico,2020-03-27,130,1.838469587,1.838469587,1.838469587
47654,Mexico,2020-03-28,130,2.312252515,2.312252515,2.312252515
47655,Mexico,2020-03-29,130,2.914232401,2.914232401,2.914232401
47656,Mexico,2020-03-30,130,3.672637052,3.672637052,3.672637052
47657,Mexico,2020-03-31,130,4.619040562,4.619040562,4.619040562
47658,Mexico,2020-04-01,130,5.791900556,5.791900556,5.791900556
47659,Mexico,2020-04-02,130,7.228837421,7.228837421,7.228837421
47660,Mexico,2020-04-03,130,8.973995465,8.973995465,8.973995465
47661,Mexico,2020-04-04,130,11.0651681,11.0651681,11.0651681
47662,Mexico,2020-04-05,130,13.52916155,13.52916155,13.52916155
47663,Mexico,2020-04-06,130,16.39061743,16.39061743,16.39061743
47664,Mexico,2020-04-07,130,19.66629739,19.66629739,19.66629739
47665,Mexico,2020-04-08,130,23.36960606,23.36960606,23.36960606
47666,Mexico,2020-04-09,130,27.48175171,27.48175171,27.48175171
47667,Mexico,2020-04-10,130,31.95625788,31.95625788,31.95625788
47668,Mexico,2020-04-11,130,36.72952748,36.72952748,36.72952748
47669,Mexico,2020-04-12,130,41.72015827,41.72015827,41.72015827
47670,Mexico,2020-04-13,130,46.8369228,46.8369228,46.8369228
47671,Mexico,2020-04-14,130,51.98934353,51.98934353,51.98934353
47672,Mexico,2020-04-15,130,57.09731924,57.09731924,57.09731924
47673,Mexico,2020-04-16,130,62.09870792,62.09870792,62.09870792
47674,Mexico,2020-04-17,130,66.95480023,66.95480023,66.95480023
47675,Mexico,2020-04-18,130,71.6499147,71.6499147,71.6499147
47676,Mexico,2020-04-19,130,76.18855338,76.18855338,76.18855338
47677,Mexico,2020-04-20,130,80.59001268,80.59001268,80.59001268
47678,Mexico,2020-04-21,130,84.88302389,84.88302389,84.88302389
47679,Mexico,2020-04-22,130,89.10343616,89.10343616,89.10343616
47680,Mexico,2020-04-23,130,93.29233131,93.29233131,93.29233131
47681,Mexico,2020-04-24,130,97.49438283,97.49438283,97.49438283
47682,Mexico,2020-04-25,130,101.7564465,101.7564465,101.7564465
47683,Mexico,2020-04-26,130,106.1259829,106.1259829,106.1259829
47684,Mexico,2020-04-27,130,110.6516017,110.6516017,110.6516017
47685,Mexico,2020-04-28,130,115.38141,115.38141,115.38141
47686,Mexico,2020-04-29,130,120.3612783,120.3612783,120.3612783
47687,Mexico,2020-04-30,130,125.6341083,125.6341083,125.6341083
47688,Mexico,2020-05-01,130,131.2392766,131.2392766,131.2392766
47689,Mexico,2020-05-02,130,137.2105599,137.2105599,137.2105599
47690,Mexico,2020-05-03,130,143.5756793,143.5756793,143.5756793
47691,Mexico,2020-05-04,130,150.3551175,150.3551175,150.3551175
47692,Mexico,2020-05-05,130,157.5613333,157.5613333,157.5613333
47693,Mexico,2020-05-06,130,165.1989679,165.1989679,165.1989679
47694,Mexico,2020-05-07,130,173.2650412,173.2650412,173.2650412
47695,Mexico,2020-05-08,130,181.7502606,181.7502606,181.7502606
47696,Mexico,2020-05-09,130,190.6382493,190.6382493,190.6382493
47697,Mexico,2020-05-10,130,199.9060353,199.9060353,199.9060353
47698,Mexico,2020-05-11,130,209.5255946,209.5255946,209.5255946
47699,Mexico,2020-05-12,130,219.4662886,219.4662886,219.4662886
47700,Mexico,2020-05-13,130,229.6959744,229.6959744,229.6959744
47701,Mexico,2020-05-14,130,240.1809964,240.1809964,240.1809964
47702,Mexico,2020-05-15,130,250.8849421,250.8849421,250.8849421
47703,Mexico,2020-05-16,130,261.7694753,261.7694753,261.7694753
47704,Mexico,2020-05-17,130,272.7964997,272.7964997,272.7964997
47705,Mexico,2020-05-18,130,283.9299753,283.9299753,283.9299753
47706,Mexico,2020-05-19,130,295.1363578,295.1363578,295.1363578
47707,Mexico,2020-05-20,130,306.3857289,306.3857289,306.3857289
47708,Mexico,2020-05-21,130,317.6506894,317.6506894,317.6506894
47709,Mexico,2020-05-22,130,328.9053986,328.9053986,328.9053986
47710,Mexico,2020-05-23,130,340.1282133,340.1282133,340.1282133
47711,Mexico,2020-05-24,130,351.3036618,351.3036618,351.3036618
47712,Mexico,2020-05-25,130,362.4195038,362.4195038,362.4195038
47713,Mexico,2020-05-26,130,373.4654219,373.4654219,373.4654219
47714,Mexico,2020-05-27,130,384.432798,384.432798,384.432798
47715,Mexico,2020-05-28,130,395.3141746,395.3141746,395.3141746
47716,Mexico,2020-05-29,130,406.1023394,406.1023394,406.1023394
47717,Mexico,2020-05-30,130,416.7892123,416.7892123,416.7892123
47718,Mexico,2020-05-31,130,427.3656503,427.3656503,427.3656503
47719,Mexico,2020-06-01,130,437.8208614,437.8208614,437.8208614
47720,Mexico,2020-06-02,130,448.1396846,448.1396846,448.1396846
47721,Mexico,2020-06-03,130,458.305125,458.305125,458.305125
47722,Mexico,2020-06-04,130,468.3018095,468.3018095,468.3018095
47723,Mexico,2020-06-05,130,478.1166074,478.1166074,478.1166074
47724,Mexico,2020-06-06,130,487.7392865,487.7392865,487.7392865
47725,Mexico,2020-06-07,130,497.1620058,497.1620058,497.1620058
47726,Mexico,2020-06-08,130,506.3821334,506.3821334,506.3821334
47727,Mexico,2020-06-09,130,515.4078049,515.4078049,515.4078049
47728,Mexico,2020-06-10,130,524.2588523,524.2588523,524.2588523
47729,Mexico,2020-06-11,130,532.9685127,532.9685127,532.9685127
47730,Mexico,2020-06-12,130,541.5855508,541.5855508,541.5855508
47731,Mexico,2020-06-13,130,550.1773346,550.1773346,550.1773346
47732,Mexico,2020-06-14,130,558.8244714,558.8244714,558.8244714
