country,country_short,date,days,daily_cases,total_cases,deaths_daily,deaths_dotal,school_closure,days_since_schools_closed,workplace_closure,days_workplace_closure,public_events_cancelled,public_events_cancelled_days,public_transit_suspended,days_since_transit_suspend,information_campaign,information_campaign_days,internal_travel_control,days_since_internal_travel_ban,international_travel_controls,days_since_international_ban,stay_at_home,days_since_stay_at_home,rest_on_gatherings,days_rest_on_gatherings,use_face_masks,days_use_face_mask,mobility_index,policy_index,facemask_index,test_rate,testpositivity_rate
Argentina,ARG,2020-02-25,0,,,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,-2.2,0,,0.003647551,0
Argentina,ARG,2020-02-26,0,,,,,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,,,-2.2,0,,0.004394978,0
Argentina,ARG,2020-02-27,0,,,,,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,,,-2.028571429,0,,0.00523601,0
Argentina,ARG,2020-02-28,0,,,,,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,,,-1.971428571,0,,0.006158304,0
Argentina,ARG,2020-02-29,0,,,,,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,,,-2.285714286,0,,0.007165942,0
Argentina,ARG,2020-03-01,0,,,,,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,,,-3.857142857,0,,0.008292046,0
Argentina,ARG,2020-03-02,0,,,,,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,,,-0.971428571,0,,0.009609706,0
Argentina,ARG,2020-03-03,0,,,,,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,,,2.942857143,0,,0.011237329,0.018086871
Argentina,ARG,2020-03-04,1,,1,,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,,,2.857142857,11.11111111,,0.013336133,0.018086871
Argentina,ARG,2020-03-05,2,,1,,,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,,,3.142857143,11.11111111,,0.016098423,0.018086871
Argentina,ARG,2020-03-06,3,,2,,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,,,3.685714286,11.11111111,,0.019728888,0.027230698
Argentina,ARG,2020-03-07,4,,8,,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,,,3.771428571,11.11111111,,0.024429123,0.070975222
Argentina,ARG,2020-03-08,5,,9,,1,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,,,4,11.11111111,,0.030399026,0.094431669
Argentina,ARG,2020-03-09,6,,12,,1,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,,,4.142857143,11.11111111,,0.037857477,0.094431669
Argentina,ARG,2020-03-10,7,,12,,,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,,,4.457142857,11.11111111,,0.047066953,0.095631861
Argentina,ARG,2020-03-11,8,,19,,1,0,0,0,0,1,1,0,0,1,16,0,0,0.5,1,0,0,0,0,,,2.6,17.00366762,,0.05834094,0.101912199
Argentina,ARG,2020-03-12,9,,19,,,0,0,0,0,1,2,0,0,1,17,0,0,0.5,2,0,0,0,0,,,2.371428571,18.96785312,,0.07202567,0.101912199
Argentina,ARG,2020-03-13,10,,31,,1,0,0,0,0,1,3,0,0,1,18,0,0,0.5,3,0,0,0,0,,,1.685714286,20.2398204,,0.088468317,0.118111502
Argentina,ARG,2020-03-14,11,,34,,2,0,0,0,0,1,4,0,0,1,19,0,0,0.5,4,0,0,0,0,,,-0.885714286,21.16148926,,0.107996641,0.079633528
Argentina,ARG,2020-03-15,12,,45,,2,0,0,0,0,1,5,0,0,1,20,0,0,0.5,5,0,0,0,0,,,-3.142857143,21.86939818,,0.130927818,0.072392635
Argentina,ARG,2020-03-16,13,,56,,2,1,1,0,0,1,6,0,0,1,21,0,0,1,6,0,0,0,0,,,-5.971428571,29.28980599,,0.157599879,0.086120543
Argentina,ARG,2020-03-17,14,,65,,2,1,2,0,0,1,7,0,0,1,22,0,0,1,7,0,0,0,0,,,-11.22857143,31.02420039,,0.188398958,0.079581599
Argentina,ARG,2020-03-18,15,,79,,2,1,3,0,0,1,8,0,0,1,23,0,0,1,8,0,0,0,0,,,-14.62857143,32.30896758,,0.223758685,0.083287388
Argentina,ARG,2020-03-19,16,,97,,2,1,4,1,1,1,9,0,0,1,24,0,0,1,9,1,1,1,1,,,-19.4,41.66666667,,0.264132834,0.097307815
Argentina,ARG,2020-03-20,17,,128,,3,1,5,1,2,1,10,0,0,1,25,1,1,1,10,1,2,1,2,,,-29.22857143,48.30870287,,0.309967551,0.092790271
Argentina,ARG,2020-03-21,18,,158,,3,1,6,1,3,1,11,0,0,1,26,1,2,1,11,1,3,1,3,,,-37,52.21000438,,0.361702981,0.10501274
Argentina,ARG,2020-03-22,19,,225,,4,1,7,1,4,1,12,0,0,1,27,1,3,1,12,1,4,1,4,,,-45.4,55.22522131,,0.419811229,0.143752805
Argentina,ARG,2020-03-23,20,,266,,4,1,8,1,5,1,13,1,1,1,28,1,4,1,13,1,5,1,5,,,-54.82857143,60.17474972,,0.484846116,0.130024897
Argentina,ARG,2020-03-24,21,,301,,4,1,9,1,6,1,14,1,2,1,29,1,5,1,14,1,6,1,6,,,-62.08571429,63.19745578,,0.557464159,0.16473689
Argentina,ARG,2020-03-25,22,,387,,6,1,10,1,7,1,15,1,3,1,30,1,6,1,15,1,7,1,7,,,-67.85714286,65.65979084,,0.638385347,0.154750763
Argentina,ARG,2020-03-26,23,,502,,8,1,11,1,8,1,16,1,4,1,31,1,7,1,16,1,8,1,8,,,-73.94285714,67.75209971,,0.728287241,0.175846963
Argentina,ARG,2020-03-27,24,,589,,12,1,12,1,9,1,17,1,5,1,32,1,8,1,17,1,9,1,9,,,-74.6,69.56956272,,0.827651177,0.178604618
Argentina,ARG,2020-03-28,25,,690,,17,1,13,1,10,1,18,1,6,1,33,1,9,1,18,1,10,1,10,,,-74.57142857,71.17145638,,0.936594881,0.185582525
Argentina,ARG,2020-03-29,26,,745,,19,1,14,1,11,1,19,1,7,1,34,1,10,1,19,1,11,1,11,,,-74.45714286,72.59865906,,1.054733984,0.14263165
Argentina,ARG,2020-03-30,27,,820,,20,1,15,1,12,1,20,1,8,1,35,1,11,1,20,1,12,1,12,,,-73.2,73.88108574,,1.181116816,0.157511389
Argentina,ARG,2020-03-31,28,,966,,24,1,16,1,13,1,21,1,9,1,36,1,12,1,21,1,13,1,13,,,-72.71428571,75.04150628,,1.314268437,0.152610075
Argentina,ARG,2020-04-01,29,,966,,24,1,17,1,14,1,22,1,10,1,37,1,13,1,22,1,14,1,14,,,-72.25714286,76.09774955,,1.452352073,0.152610075
Argentina,ARG,2020-04-02,30,,1133,,31,1,18,1,15,1,23,1,11,1,38,1,14,1,23,1,15,1,15,,,-71.71428571,77.06408007,,1.593413446,0.129839634
Argentina,ARG,2020-04-03,31,,1133,,34,1,19,1,16,1,24,1,12,1,39,1,15,1,24,1,16,1,16,,,-71,77.95210807,,1.735629599,0.125558675
Argentina,ARG,2020-04-04,32,,1265,,37,1,20,1,17,1,25,1,13,1,40,1,16,1,25,1,17,1,17,,,-70.31428571,78.77141721,,1.87747047,0.12667909
Argentina,ARG,2020-04-05,33,,1451,,43,1,21,1,18,1,26,1,14,1,41,1,17,1,26,1,18,1,18,,,-69.71428571,79.53001235,,2.017721061,0.114674347
Argentina,ARG,2020-04-06,34,,1554,,46,1,22,1,19,1,27,1,15,1,42,1,18,1,27,1,19,1,19,,,-68.65714286,80.23464764,,2.155393058,0.1125275
Argentina,ARG,2020-04-07,35,,1628,,53,1,23,1,20,1,28,1,16,1,43,1,19,1,28,1,20,1,20,,,-66.37142857,80.89107228,,2.289617367,0.078704599
Argentina,ARG,2020-04-08,36,,1715,,60,1,24,1,21,1,29,1,17,1,44,1,20,1,29,1,21,1,21,,,-65.14285714,81.50421808,,2.419606975,0.088557001
Argentina,ARG,2020-04-09,37,,1795,,65,1,25,1,22,1,30,1,18,1,45,1,21,1,30,1,22,1,22,,,-64.37142857,82.07834501,,2.544721839,0.084935369
Argentina,ARG,2020-04-10,38,,1894,,79,1,26,1,23,1,31,1,19,1,46,1,22,1,31,1,23,1,23,,,-66.05714286,82.61715549,,2.664606839,0.084593359
Argentina,ARG,2020-04-11,39,,1975,,82,1,27,1,24,1,32,1,20,1,47,1,23,1,32,1,24,1,24,,,-65.85714286,83.12388547,,2.779344984,0.059006018
Argentina,ARG,2020-04-12,40,,2137,,89,1,28,1,25,1,33,1,21,1,48,1,24,1,33,1,25,1,25,,,-65.71428571,83.60137767,,2.889566359,0.075494216
Argentina,ARG,2020-04-13,41,,2203,,95,1,29,1,26,1,34,1,22,1,49,1,25,1,34,1,26,1,26,,,-65.6,84.05214104,,2.996461384,0.069073142
Argentina,ARG,2020-04-14,42,,2272,,98,1,30,1,27,1,35,1,23,1,50,1,26,1,35,1,27,1,27,,,-65.37142857,84.47839947,,3.101660866,0.066725817
Argentina,ARG,2020-04-15,43,,2432,,105,1,31,1,28,1,36,1,24,1,51,1,27,1,36,1,28,1,28,,,-65.28571429,84.88213208,,3.20697602,0.071744455
Argentina,ARG,2020-04-16,44,,2432,,109,1,32,1,29,1,37,1,25,1,52,1,28,1,37,1,29,1,29,,,-65.34285714,85.2651066,,3.314033221,0.074111367
Argentina,ARG,2020-04-17,45,,2560,,115,1,33,1,30,1,38,1,26,1,53,1,29,1,38,1,30,1,30,,,-63.31428571,85.62890745,,3.423874625,0.063368382
Argentina,ARG,2020-04-18,46,,2658,,122,1,34,1,31,1,39,1,27,1,54,1,30,1,39,1,31,1,31,,,-63.54285714,85.97495926,,3.536610176,0.070600135
Argentina,ARG,2020-04-19,47,,2828,,132,1,35,1,32,1,40,1,28,1,55,1,31,1,40,1,32,1,32,,,-63.85714286,86.3045469,,3.651207763,0.060506846
Argentina,ARG,2020-04-20,48,,2930,,134,1,36,1,33,1,41,1,29,1,56,1,32,1,41,1,33,1,33,,,-63.97142857,86.6188324,,3.765497341,0.062048658
Argentina,ARG,2020-04-21,49,,3020,,142,1,37,1,34,1,42,1,30,1,57,1,33,1,42,1,34,1,34,,,-64.54285714,86.91886958,,3.876432316,0.062448802
Argentina,ARG,2020-04-22,50,,3132,,151,1,38,1,35,1,43,1,31,1,58,1,34,1,43,1,35,1,35,,,-65.14285714,87.20561644,,3.980576907,0.055967389
Argentina,ARG,2020-04-23,51,,3276,,159,1,39,1,36,1,44,1,32,1,59,1,35,1,44,1,36,1,36,,,-65.17142857,87.47994604,,4.07469971,0.066233971
