country_short,country,date,days,mobility_index,policy_index,facemask_index,test_rate,testpositivityrate,rank_face_mask,ranking_testrate,ranking_testpositivity
ARG,Argentina,2020-02-25,0,-22.8,,0,6.135269,0.00000000000000,,,
ARG,Argentina,2020-02-26,0,6,,0,6.391142,0.00001540770000,,,
ARG,Argentina,2020-02-27,0,2.8,,0,6.647064,0.00001540770000,,,
ARG,Argentina,2020-02-28,0,3.6,,0,6.903069,0.00001540770000,,,
ARG,Argentina,2020-02-29,0,2,,0,7.159196,0.00002932060000,,,
ARG,Argentina,2020-03-01,0,-2.4,,0,7.415498,0.00002932060000,,,
ARG,Argentina,2020-03-02,0,4,,0,7.672029,0.00002932060000,,,
ARG,Argentina,2020-03-03,0,4.6,,0,7.928842,0.00002932060000,,,
ARG,Argentina,2020-03-04,1,5.4,11.11111111,0,8.185986,0.00002622510000,,,
ARG,Argentina,2020-03-05,2,4.8,11.11111111,0,8.443499,0.00007409200000,,,
ARG,Argentina,2020-03-06,3,7.4,11.11111111,0,8.701414,0.00014392900000,,,
ARG,Argentina,2020-03-07,4,2.6,11.11111111,0,8.959765,0.00019799000000,,,
ARG,Argentina,2020-03-08,5,-0.8,11.11111111,0,9.218591,0.00026419400000,,,
ARG,Argentina,2020-03-09,6,5,11.11111111,0,9.477944,0.00026419400000,,,
ARG,Argentina,2020-03-10,7,6.8,11.11111111,0,9.737899,0.00035856100000,,,
ARG,Argentina,2020-03-11,8,-7.6,17.00366762,0,9.998559,0.00053037600000,,,
ARG,Argentina,2020-03-12,9,3.2,18.96785312,0,10.26006,0.00073211700000,,,
ARG,Argentina,2020-03-13,10,2.6,20.2398204,0,10.52257,0.00086701800000,,,
ARG,Argentina,2020-03-14,11,-15.4,21.16148926,0,10.78628,0.00101809000000,,,
ARG,Argentina,2020-03-15,12,-16.6,21.86939818,0,11.0514,0.00168711500000,,,
ARG,Argentina,2020-03-16,13,-14.8,29.28980599,0,11.31814,0.00199643500000,,,
ARG,Argentina,2020-03-17,14,-30,31.02420039,0,11.58675,0.00240913700000,,,
ARG,Argentina,2020-03-18,15,-31.4,32.30896758,0,11.85748,0.00341706800000,,,
ARG,Argentina,2020-03-19,16,-30.2,41.66666667,0,12.13058,0.00481043700000,,,
ARG,Argentina,2020-03-20,17,-66.2,48.30870287,0,12.40616,0.00696337000000,,,
ARG,Argentina,2020-03-21,18,-69.8,52.21000438,0,12.68415,0.00857125900000,,,
ARG,Argentina,2020-03-22,19,-75.4,55.22522131,0,12.9642,0.01117510000000,,,
ARG,Argentina,2020-03-23,20,-80.8,60.17474972,0,13.24574,0.01356643500000,,,
ARG,Argentina,2020-03-24,21,-80.8,63.19745578,0,13.52805,0.01543866700000,,,
ARG,Argentina,2020-03-25,22,-71.8,65.65979084,0,13.81036,0.01599339700000,,,
ARG,Argentina,2020-03-26,23,-72.8,67.75209971,0.2608202,14.09199,0.01791218500000,,,
ARG,Argentina,2020-03-27,24,-70.8,69.56956272,0.3628575,14.37243,0.01919669200000,,,
ARG,Argentina,2020-03-28,25,-69.6,71.17145638,0.4374089,14.65148,0.02083298000000,,,
ARG,Argentina,2020-03-29,26,-74.6,72.59865906,0.4973648,14.92923,0.01996527200000,,,
ARG,Argentina,2020-03-30,27,-72,73.88108574,0.5478322,15.20601,0.01948691500000,,,
ARG,Argentina,2020-03-31,28,-77.4,75.04150628,0.5914848,15.48223,0.02480420800000,,,
ARG,Argentina,2020-04-01,29,-68.6,76.09774955,0.6299408,15.75829,0.03048565900000,,,
ARG,Argentina,2020-04-02,30,-69,77.06408007,0.6642722,16.03445,0.03396180800000,,,
ARG,Argentina,2020-04-03,31,-65.8,77.95210807,0.6952347,16.31084,0.03769424800000,,,
ARG,Argentina,2020-04-04,32,-64.8,78.77141721,0.7233852,16.58746,0.04196977500000,,,
