State_Code,Date,Days,State_Name,avg_google_7d
2,27-Feb-20,1,Baja California,3.3142858
25,27-Feb-20,1,Sinaloa,10.542857
4,27-Feb-20,1,Campeche,2.942857
30,27-Feb-20,1,Veracruz,-0.2857143
10,27-Feb-20,1,Durango,1.8285714
28,27-Feb-20,1,Tamaulipas,0.60000002
31,27-Feb-20,1,Yucatán,0.40000001
18,27-Feb-20,1,Nayarit,0.88571429
12,27-Feb-20,1,Guerrero,-0.77142859
16,27-Feb-20,1,Michoacán,1.5428572
1,27-Feb-20,1,Aguascalientes,-0.057142857
5,27-Feb-20,1,Coahuila,0.74285716
14,27-Feb-20,1,Jalisco,3.2285714
26,27-Feb-20,1,Sonora,2.6285715
21,27-Feb-20,1,Puebla,1.6
11,27-Feb-20,1,Guanajuato,0.48571429
7,27-Feb-20,1,Chiapas,-2.0857143
13,27-Feb-20,1,Hidalgo,-0.48571429
20,27-Feb-20,1,Oaxaca,-0.97142857
29,27-Feb-20,1,Tlaxcala,6.4000001
23,27-Feb-20,1,Quintana Roo,2.4000001
15,27-Feb-20,1,Mex,2.7142856
22,27-Feb-20,1,Querétaro,3.7428572
8,27-Feb-20,1,Chihuahua,2.7428572
32,27-Feb-20,1,Zacatecas,0.82857144
9,27-Feb-20,1,Ciudad de Mexico,3.5142858
6,27-Feb-20,1,Colima,-1.2571429
17,27-Feb-20,1,Morelos,4.7714286
24,27-Feb-20,1,San Luis Potosí,1.0571429
27,27-Feb-20,1,Tabasco,2.0857143
19,27-Feb-20,1,Nuevo León,3.6285715
3,27-Feb-20,1,Baja California Sur,5.4857144
8,28-Feb-20,2,Chihuahua,3.7142856
11,28-Feb-20,2,Guanajuato,0.85714287
25,28-Feb-20,2,Sinaloa,9.6285715
13,28-Feb-20,2,Hidalgo,0.2857143
3,28-Feb-20,2,Baja California Sur,5.5428572
5,28-Feb-20,2,Coahuila,2.5142858
17,28-Feb-20,2,Morelos,5.1142859
1,28-Feb-20,2,Aguascalientes,0.85714287
20,28-Feb-20,2,Oaxaca,-0.48571429
22,28-Feb-20,2,Querétaro,4.3714285
4,28-Feb-20,2,Campeche,1.6
16,28-Feb-20,2,Michoacán,1.8285714
23,28-Feb-20,2,Quintana Roo,2.2857144
10,28-Feb-20,2,Durango,2.2
2,28-Feb-20,2,Baja California,3.5999999
15,28-Feb-20,2,Mex,3.2857144
30,28-Feb-20,2,Veracruz,0.057142857
24,28-Feb-20,2,San Luis Potosí,2.0857143
12,28-Feb-20,2,Guerrero,-0.22857143
32,28-Feb-20,2,Zacatecas,1
18,28-Feb-20,2,Nayarit,1.2857143
6,28-Feb-20,2,Colima,-0.6857143
31,28-Feb-20,2,Yucatán,0.37142858
28,28-Feb-20,2,Tamaulipas,2
7,28-Feb-20,2,Chiapas,-1.2857143
27,28-Feb-20,2,Tabasco,2.4000001
26,28-Feb-20,2,Sonora,3.0285714
14,28-Feb-20,2,Jalisco,3.4571428
21,28-Feb-20,2,Puebla,1.8
9,28-Feb-20,2,Ciudad de Mexico,3.9714286
19,28-Feb-20,2,Nuevo León,5.4857144
29,28-Feb-20,2,Tlaxcala,6.8000002
15,29-Feb-20,3,Mex,3.8285713
8,29-Feb-20,3,Chihuahua,4.0571427
7,29-Feb-20,3,Chiapas,-0.34285715
25,29-Feb-20,3,Sinaloa,7.4000001
3,29-Feb-20,3,Baja California Sur,5.5714288
9,29-Feb-20,3,Ciudad de Mexico,4.1999998
11,29-Feb-20,3,Guanajuato,1.4285715
12,29-Feb-20,3,Guerrero,0.48571429
10,29-Feb-20,3,Durango,2.7142856
14,29-Feb-20,3,Jalisco,3.8857143
6,29-Feb-20,3,Colima,-0.17142858
28,29-Feb-20,3,Tamaulipas,2.4857142
19,29-Feb-20,3,Nuevo León,6.8000002
20,29-Feb-20,3,Oaxaca,-0.028571429
27,29-Feb-20,3,Tabasco,3.6285715
21,29-Feb-20,3,Puebla,2.2571428
17,29-Feb-20,3,Morelos,5.0857143
24,29-Feb-20,3,San Luis Potosí,3.1428571
22,29-Feb-20,3,Querétaro,5.0571427
5,29-Feb-20,3,Coahuila,3.6571429
26,29-Feb-20,3,Sonora,3.7142856
31,29-Feb-20,3,Yucatán,0.25714287
16,29-Feb-20,3,Michoacán,2.2285714
18,29-Feb-20,3,Nayarit,1.8285714
23,29-Feb-20,3,Quintana Roo,2.057143
29,29-Feb-20,3,Tlaxcala,6.9714284
13,29-Feb-20,3,Hidalgo,0.94285715
30,29-Feb-20,3,Veracruz,0.25714287
1,29-Feb-20,3,Aguascalientes,2.6571429
32,29-Feb-20,3,Zacatecas,1.3142858
4,29-Feb-20,3,Campeche,-0.25714287
2,29-Feb-20,3,Baja California,4.5999999
2,1-Mar-20,4,Baja California,3.9142857
20,1-Mar-20,4,Oaxaca,0.51428574
22,1-Mar-20,4,Querétaro,5.6285715
11,1-Mar-20,4,Guanajuato,2.0285714
16,1-Mar-20,4,Michoacán,2.5714285
13,1-Mar-20,4,Hidalgo,1.7428571
10,1-Mar-20,4,Durango,3.6285715
8,1-Mar-20,4,Chihuahua,4.8571429
4,1-Mar-20,4,Campeche,-1.6
23,1-Mar-20,4,Quintana Roo,1.5714285
14,1-Mar-20,4,Jalisco,4.3142858
15,1-Mar-20,4,Mex,4.3714285
29,1-Mar-20,4,Tlaxcala,6.9142857
12,1-Mar-20,4,Guerrero,1.2
1,1-Mar-20,4,Aguascalientes,3.7714286
21,1-Mar-20,4,Puebla,2.8857143
19,1-Mar-20,4,Nuevo León,7.6285715
5,1-Mar-20,4,Coahuila,5.0571427
18,1-Mar-20,4,Nayarit,2.5428572
30,1-Mar-20,4,Veracruz,0.11428571
7,1-Mar-20,4,Chiapas,0.057142857
26,1-Mar-20,4,Sonora,4.257143
3,1-Mar-20,4,Baja California Sur,5.4857144
32,1-Mar-20,4,Zacatecas,1.7714286
28,1-Mar-20,4,Tamaulipas,3.1714287
17,1-Mar-20,4,Morelos,4.9714284
9,1-Mar-20,4,Ciudad de Mexico,4.3428574
31,1-Mar-20,4,Yucatán,0.028571429
27,1-Mar-20,4,Tabasco,4.1999998
6,1-Mar-20,4,Colima,0.48571429
25,1-Mar-20,4,Sinaloa,5.1999998
24,1-Mar-20,4,San Luis Potosí,4.1714287
8,2-Mar-20,5,Chihuahua,5.0571427
1,2-Mar-20,5,Aguascalientes,4.1142859
25,2-Mar-20,5,Sinaloa,4
19,2-Mar-20,5,Nuevo León,7.8000002
2,2-Mar-20,5,Baja California,3.0857143
7,2-Mar-20,5,Chiapas,0.60000002
9,2-Mar-20,5,Ciudad de Mexico,4.742857
16,2-Mar-20,5,Michoacán,2.6857142
10,2-Mar-20,5,Durango,3.8571429
6,2-Mar-20,5,Colima,0.5714286
3,2-Mar-20,5,Baja California Sur,5.3428574
18,2-Mar-20,5,Nayarit,2.7428572
13,2-Mar-20,5,Hidalgo,2.1428571
21,2-Mar-20,5,Puebla,3.0857143
15,2-Mar-20,5,Mex,4.4285712
4,2-Mar-20,5,Campeche,-0.62857145
23,2-Mar-20,5,Quintana Roo,1.7428571
22,2-Mar-20,5,Querétaro,6.1428571
12,2-Mar-20,5,Guerrero,1.4571428
28,2-Mar-20,5,Tamaulipas,3.6285715
17,2-Mar-20,5,Morelos,5.257143
26,2-Mar-20,5,Sonora,4.5142856
24,2-Mar-20,5,San Luis Potosí,4.4857144
31,2-Mar-20,5,Yucatán,0.71428573
11,2-Mar-20,5,Guanajuato,2.2571428
27,2-Mar-20,5,Tabasco,4.7142859
30,2-Mar-20,5,Veracruz,0.5714286
20,2-Mar-20,5,Oaxaca,0.91428572
14,2-Mar-20,5,Jalisco,4.5142856
29,2-Mar-20,5,Tlaxcala,6.7714286
32,2-Mar-20,5,Zacatecas,1.4857143
5,2-Mar-20,5,Coahuila,5.7142859
24,3-Mar-20,6,San Luis Potosí,4.9142857
5,3-Mar-20,6,Coahuila,5.9142857
16,3-Mar-20,6,Michoacán,2.3714285
9,3-Mar-20,6,Ciudad de Mexico,5.0857143
17,3-Mar-20,6,Morelos,5.1428571
20,3-Mar-20,6,Oaxaca,1.2285714
3,3-Mar-20,6,Baja California Sur,4.9142857
21,3-Mar-20,6,Puebla,2.9142857
23,3-Mar-20,6,Quintana Roo,1.6285714
4,3-Mar-20,6,Campeche,0.65714288
6,3-Mar-20,6,Colima,0.94285715
7,3-Mar-20,6,Chiapas,0.54285717
14,3-Mar-20,6,Jalisco,4.5999999
11,3-Mar-20,6,Guanajuato,2.3142858
32,3-Mar-20,6,Zacatecas,1.1142857
1,3-Mar-20,6,Aguascalientes,4.2285714
12,3-Mar-20,6,Guerrero,1.4857143
13,3-Mar-20,6,Hidalgo,2.3142858
29,3-Mar-20,6,Tlaxcala,6.5428572
2,3-Mar-20,6,Baja California,3.1428571
28,3-Mar-20,6,Tamaulipas,4.0571427
27,3-Mar-20,6,Tabasco,4.9714284
30,3-Mar-20,6,Veracruz,1.0857143
26,3-Mar-20,6,Sonora,4.1714287
8,3-Mar-20,6,Chihuahua,4.6285715
18,3-Mar-20,6,Nayarit,2.6571429
15,3-Mar-20,6,Mex,4.8571429
25,3-Mar-20,6,Sinaloa,2.5714285
31,3-Mar-20,6,Yucatán,1.5142857
22,3-Mar-20,6,Querétaro,6.4285712
19,3-Mar-20,6,Nuevo León,7.742857
10,3-Mar-20,6,Durango,3.2
19,4-Mar-20,7,Nuevo León,8.3428574
6,4-Mar-20,7,Colima,0.97142857
27,4-Mar-20,7,Tabasco,6.0857143
11,4-Mar-20,7,Guanajuato,2.1714287
13,4-Mar-20,7,Hidalgo,3
8,4-Mar-20,7,Chihuahua,4.8285713
12,4-Mar-20,7,Guerrero,1.2
4,4-Mar-20,7,Campeche,2.4000001
5,4-Mar-20,7,Coahuila,6.5999999
25,4-Mar-20,7,Sinaloa,2.1142857
20,4-Mar-20,7,Oaxaca,1.5428572
14,4-Mar-20,7,Jalisco,4.742857
10,4-Mar-20,7,Durango,3.4285715
16,4-Mar-20,7,Michoacán,2.2857144
17,4-Mar-20,7,Morelos,5.1142859
1,4-Mar-20,7,Aguascalientes,4.3714285
3,4-Mar-20,7,Baja California Sur,4.7714286
26,4-Mar-20,7,Sonora,4.4285712
23,4-Mar-20,7,Quintana Roo,1.6857142
29,4-Mar-20,7,Tlaxcala,6.1142859
22,4-Mar-20,7,Querétaro,6.5714288
9,4-Mar-20,7,Ciudad de Mexico,5.1999998
21,4-Mar-20,7,Puebla,3.0857143
15,4-Mar-20,7,Mex,4.9428573
30,4-Mar-20,7,Veracruz,3.942857
24,4-Mar-20,7,San Luis Potosí,5.4285712
32,4-Mar-20,7,Zacatecas,0.88571429
31,4-Mar-20,7,Yucatán,2.1714287
28,4-Mar-20,7,Tamaulipas,5.4857144
7,4-Mar-20,7,Chiapas,0.5714286
18,4-Mar-20,7,Nayarit,2.5428572
2,4-Mar-20,7,Baja California,3.4857142
3,5-Mar-20,8,Baja California Sur,4.7714286
15,5-Mar-20,8,Mex,5.1999998
12,5-Mar-20,8,Guerrero,0.71428573
4,5-Mar-20,8,Campeche,3.0857143
5,5-Mar-20,8,Coahuila,6.9142857
22,5-Mar-20,8,Querétaro,6.8000002
16,5-Mar-20,8,Michoacán,2.3428571
11,5-Mar-20,8,Guanajuato,2.2857144
29,5-Mar-20,8,Tlaxcala,6.1999998
13,5-Mar-20,8,Hidalgo,3.057143
18,5-Mar-20,8,Nayarit,2.5714285
14,5-Mar-20,8,Jalisco,4.8857141
8,5-Mar-20,8,Chihuahua,5.2285714
24,5-Mar-20,8,San Luis Potosí,5.6571426
19,5-Mar-20,8,Nuevo León,8.6000004
1,5-Mar-20,8,Aguascalientes,4.0571427
21,5-Mar-20,8,Puebla,3.5142858
6,5-Mar-20,8,Colima,0.94285715
20,5-Mar-20,8,Oaxaca,1.7714286
27,5-Mar-20,8,Tabasco,8.7714281
28,5-Mar-20,8,Tamaulipas,6.0285716
26,5-Mar-20,8,Sonora,4.6857142
31,5-Mar-20,8,Yucatán,2.5428572
32,5-Mar-20,8,Zacatecas,0.85714287
25,5-Mar-20,8,Sinaloa,1.8285714
30,5-Mar-20,8,Veracruz,4.5428572
23,5-Mar-20,8,Quintana Roo,1.9142857
17,5-Mar-20,8,Morelos,4.9714284
10,5-Mar-20,8,Durango,3.5142858
7,5-Mar-20,8,Chiapas,0.62857145
9,5-Mar-20,8,Ciudad de Mexico,5.2285714
2,5-Mar-20,8,Baja California,3.6857142
2,6-Mar-20,9,Baja California,3.4857142
31,6-Mar-20,9,Yucatán,2.4000001
29,6-Mar-20,9,Tlaxcala,5.7142859
3,6-Mar-20,9,Baja California Sur,4.4571428
4,6-Mar-20,9,Campeche,3.2285714
32,6-Mar-20,9,Zacatecas,0.14285715
25,6-Mar-20,9,Sinaloa,1.4
6,6-Mar-20,9,Colima,0.22857143
21,6-Mar-20,9,Puebla,3.2285714
8,6-Mar-20,9,Chihuahua,4.9428573
16,6-Mar-20,9,Michoacán,2
18,6-Mar-20,9,Nayarit,2.4285715
20,6-Mar-20,9,Oaxaca,1.2857143
10,6-Mar-20,9,Durango,3.057143
14,6-Mar-20,9,Jalisco,4.6285715
30,6-Mar-20,9,Veracruz,4.4857144
5,6-Mar-20,9,Coahuila,6.3714285
11,6-Mar-20,9,Guanajuato,1.8571428
12,6-Mar-20,9,Guerrero,0.085714288
13,6-Mar-20,9,Hidalgo,2.2857144
26,6-Mar-20,9,Sonora,4.5999999
17,6-Mar-20,9,Morelos,4.4000001
9,6-Mar-20,9,Ciudad de Mexico,4.7142859
28,6-Mar-20,9,Tamaulipas,5.5714288
22,6-Mar-20,9,Querétaro,6.2285714
19,6-Mar-20,9,Nuevo León,8.0571432
15,6-Mar-20,9,Mex,4.6285715
1,6-Mar-20,9,Aguascalientes,3.0285714
7,6-Mar-20,9,Chiapas,-0.028571429
24,6-Mar-20,9,San Luis Potosí,5.0571427
27,6-Mar-20,9,Tabasco,8.6857147
23,6-Mar-20,9,Quintana Roo,1.3714286
12,7-Mar-20,10,Guerrero,-0.45714286
24,7-Mar-20,10,San Luis Potosí,4.4285712
9,7-Mar-20,10,Ciudad de Mexico,4.1999998
31,7-Mar-20,10,Yucatán,2.3714285
4,7-Mar-20,10,Campeche,2.6285715
29,7-Mar-20,10,Tlaxcala,5.0857143
22,7-Mar-20,10,Querétaro,5.742857
16,7-Mar-20,10,Michoacán,1.5142857
25,7-Mar-20,10,Sinaloa,1.0857143
10,7-Mar-20,10,Durango,2.4285715
11,7-Mar-20,10,Guanajuato,1.5142857
20,7-Mar-20,10,Oaxaca,0.6857143
19,7-Mar-20,10,Nuevo León,7.5428572
14,7-Mar-20,10,Jalisco,4.3428574
7,7-Mar-20,10,Chiapas,-0.71428573
8,7-Mar-20,10,Chihuahua,4.6285715
28,7-Mar-20,10,Tamaulipas,5.3714285
30,7-Mar-20,10,Veracruz,4
21,7-Mar-20,10,Puebla,2.6857142
23,7-Mar-20,10,Quintana Roo,0.77142859
6,7-Mar-20,10,Colima,-0.25714287
1,7-Mar-20,10,Aguascalientes,1.3714286
18,7-Mar-20,10,Nayarit,2.4285715
32,7-Mar-20,10,Zacatecas,-0.60000002
13,7-Mar-20,10,Hidalgo,1.6285714
26,7-Mar-20,10,Sonora,4.257143
15,7-Mar-20,10,Mex,4.3714285
17,7-Mar-20,10,Morelos,3.7142856
27,7-Mar-20,10,Tabasco,7.8571429
5,7-Mar-20,10,Coahuila,5.5714288
3,7-Mar-20,10,Baja California Sur,4.0857143
2,7-Mar-20,10,Baja California,3.0857143
2,8-Mar-20,11,Baja California,3.7428572
18,8-Mar-20,11,Nayarit,2.2
26,8-Mar-20,11,Sonora,2.8571429
22,8-Mar-20,11,Querétaro,5.5142856
5,8-Mar-20,11,Coahuila,4.4857144
28,8-Mar-20,11,Tamaulipas,4.8857141
6,8-Mar-20,11,Colima,-0.60000002
14,8-Mar-20,11,Jalisco,4.4571428
4,8-Mar-20,11,Campeche,2.057143
31,8-Mar-20,11,Yucatán,2.1714287
10,8-Mar-20,11,Durango,2.1142857
12,8-Mar-20,11,Guerrero,-0.97142857
13,8-Mar-20,11,Hidalgo,1
25,8-Mar-20,11,Sinaloa,0.71428573
16,8-Mar-20,11,Michoacán,1.3142858
23,8-Mar-20,11,Quintana Roo,0.48571429
19,8-Mar-20,11,Nuevo León,7.5142856
9,8-Mar-20,11,Ciudad de Mexico,4.3714285
30,8-Mar-20,11,Veracruz,3.0285714
11,8-Mar-20,11,Guanajuato,1.3428571
20,8-Mar-20,11,Oaxaca,0.14285715
17,8-Mar-20,11,Morelos,3.0285714
21,8-Mar-20,11,Puebla,2.2571428
3,8-Mar-20,11,Baja California Sur,3.6285715
24,8-Mar-20,11,San Luis Potosí,3.942857
1,8-Mar-20,11,Aguascalientes,0.62857145
32,8-Mar-20,11,Zacatecas,-1.5142857
15,8-Mar-20,11,Mex,4.257143
7,8-Mar-20,11,Chiapas,-1.3714286
29,8-Mar-20,11,Tlaxcala,4.1714287
27,8-Mar-20,11,Tabasco,7.3142858
8,8-Mar-20,11,Chihuahua,3.8857143
15,9-Mar-20,12,Mex,2.3714285
7,9-Mar-20,12,Chiapas,-2.7714286
27,9-Mar-20,12,Tabasco,5.5714288
5,9-Mar-20,12,Coahuila,2.2571428
21,9-Mar-20,12,Puebla,0.028571429
29,9-Mar-20,12,Tlaxcala,2.3142858
23,9-Mar-20,12,Quintana Roo,-0.91428572
31,9-Mar-20,12,Yucatán,-0.085714288
26,9-Mar-20,12,Sonora,1.6
2,9-Mar-20,12,Baja California,3.2285714
10,9-Mar-20,12,Durango,0.25714287
1,9-Mar-20,12,Aguascalientes,-1.3142858
16,9-Mar-20,12,Michoacán,0.057142857
6,9-Mar-20,12,Colima,-2.2571428
32,9-Mar-20,12,Zacatecas,-3
17,9-Mar-20,12,Morelos,0.97142857
11,9-Mar-20,12,Guanajuato,-0.45714286
30,9-Mar-20,12,Veracruz,1.4857143
4,9-Mar-20,12,Campeche,0.057142857
18,9-Mar-20,12,Nayarit,0.5714286
22,9-Mar-20,12,Querétaro,3.1142857
25,9-Mar-20,12,Sinaloa,-1.1714286
8,9-Mar-20,12,Chihuahua,2.4000001
13,9-Mar-20,12,Hidalgo,-0.80000001
28,9-Mar-20,12,Tamaulipas,3.6571429
14,9-Mar-20,12,Jalisco,2.0285714
12,9-Mar-20,12,Guerrero,-2.1428571
24,9-Mar-20,12,San Luis Potosí,1.7714286
9,9-Mar-20,12,Ciudad de Mexico,1.0285715
19,9-Mar-20,12,Nuevo León,4.6857142
3,9-Mar-20,12,Baja California Sur,2.5142858
20,9-Mar-20,12,Oaxaca,-1.1714286
7,10-Mar-20,13,Chiapas,-2.6857142
15,10-Mar-20,13,Mex,2.2571428
1,10-Mar-20,13,Aguascalientes,-1.0571429
9,10-Mar-20,13,Ciudad de Mexico,0.88571429
31,10-Mar-20,13,Yucatán,-0.085714288
30,10-Mar-20,13,Veracruz,1.2571429
25,10-Mar-20,13,Sinaloa,-0.97142857
23,10-Mar-20,13,Quintana Roo,-1.0285715
8,10-Mar-20,13,Chihuahua,3.6285715
12,10-Mar-20,13,Guerrero,-2.2857144
3,10-Mar-20,13,Baja California Sur,2.5714285
28,10-Mar-20,13,Tamaulipas,3.4000001
14,10-Mar-20,13,Jalisco,2.0285714
19,10-Mar-20,13,Nuevo León,4.5999999
13,10-Mar-20,13,Hidalgo,-0.85714287
16,10-Mar-20,13,Michoacán,0.11428571
20,10-Mar-20,13,Oaxaca,-1.4857143
17,10-Mar-20,13,Morelos,1.0857143
21,10-Mar-20,13,Puebla,0.057142857
22,10-Mar-20,13,Querétaro,3.0285714
26,10-Mar-20,13,Sonora,2.2857144
11,10-Mar-20,13,Guanajuato,-0.54285717
2,10-Mar-20,13,Baja California,0.45714286
10,10-Mar-20,13,Durango,1.2285714
27,10-Mar-20,13,Tabasco,5.6285715
6,10-Mar-20,13,Colima,-2.5142858
29,10-Mar-20,13,Tlaxcala,2.0857143
18,10-Mar-20,13,Nayarit,0.5714286
24,10-Mar-20,13,San Luis Potosí,1.8571428
4,10-Mar-20,13,Campeche,-0.22857143
32,10-Mar-20,13,Zacatecas,-2.6571429
5,10-Mar-20,13,Coahuila,2.5999999
16,11-Mar-20,14,Michoacán,-0.085714288
28,11-Mar-20,14,Tamaulipas,3.1714287
5,11-Mar-20,14,Coahuila,2.8571429
22,11-Mar-20,14,Querétaro,2.9714286
19,11-Mar-20,14,Nuevo León,4.4285712
4,11-Mar-20,14,Campeche,-0.77142859
23,11-Mar-20,14,Quintana Roo,-1.0285715
12,11-Mar-20,14,Guerrero,-2.4571428
13,11-Mar-20,14,Hidalgo,-1.1428572
2,11-Mar-20,14,Baja California,0.11428571
32,11-Mar-20,14,Zacatecas,-2.4857142
21,11-Mar-20,14,Puebla,-0.085714288
25,11-Mar-20,14,Sinaloa,-1
30,11-Mar-20,14,Veracruz,0.85714287
9,11-Mar-20,14,Ciudad de Mexico,0.71428573
20,11-Mar-20,14,Oaxaca,-1.5714285
7,11-Mar-20,14,Chiapas,-2.7714286
1,11-Mar-20,14,Aguascalientes,-0.85714287
26,11-Mar-20,14,Sonora,2.057143
3,11-Mar-20,14,Baja California Sur,2.6285715
10,11-Mar-20,14,Durango,1.3714286
31,11-Mar-20,14,Yucatán,-0.11428571
11,11-Mar-20,14,Guanajuato,-0.82857144
27,11-Mar-20,14,Tabasco,5.257143
24,11-Mar-20,14,San Luis Potosí,1.9428571
17,11-Mar-20,14,Morelos,1.0571429
14,11-Mar-20,14,Jalisco,1.8857143
8,11-Mar-20,14,Chihuahua,4.1428571
18,11-Mar-20,14,Nayarit,0.51428574
15,11-Mar-20,14,Mex,2.057143
6,11-Mar-20,14,Colima,-2.8285713
29,11-Mar-20,14,Tlaxcala,1.6571429
24,12-Mar-20,15,San Luis Potosí,2.2571428
16,12-Mar-20,15,Michoacán,-0.028571429
27,12-Mar-20,15,Tabasco,5.6571426
18,12-Mar-20,15,Nayarit,0.62857145
20,12-Mar-20,15,Oaxaca,-1.4
19,12-Mar-20,15,Nuevo León,4.8857141
15,12-Mar-20,15,Mex,1.8571428
6,12-Mar-20,15,Colima,-3.0857143
17,12-Mar-20,15,Morelos,1.0857143
11,12-Mar-20,15,Guanajuato,-0.51428574
26,12-Mar-20,15,Sonora,0.6857143
4,12-Mar-20,15,Campeche,-0.88571429
12,12-Mar-20,15,Guerrero,-2.1142857
22,12-Mar-20,15,Querétaro,3
23,12-Mar-20,15,Quintana Roo,-1.0571429
30,12-Mar-20,15,Veracruz,1.2571429
9,12-Mar-20,15,Ciudad de Mexico,0.74285716
21,12-Mar-20,15,Puebla,-0.14285715
14,12-Mar-20,15,Jalisco,1.9714285
13,12-Mar-20,15,Hidalgo,-1.1142857
8,12-Mar-20,15,Chihuahua,4.1714287
5,12-Mar-20,15,Coahuila,3.4857142
7,12-Mar-20,15,Chiapas,-2.5142858
3,12-Mar-20,15,Baja California Sur,2.7714286
25,12-Mar-20,15,Sinaloa,-0.54285717
1,12-Mar-20,15,Aguascalientes,-0.51428574
2,12-Mar-20,15,Baja California,-1.1428572
10,12-Mar-20,15,Durango,1.6857142
28,12-Mar-20,15,Tamaulipas,3.5142858
29,12-Mar-20,15,Tlaxcala,1.4857143
31,12-Mar-20,15,Yucatán,6.34E-17
32,12-Mar-20,15,Zacatecas,-2.2571428
5,13-Mar-20,16,Coahuila,4.2285714
9,13-Mar-20,16,Ciudad de Mexico,0.77142859
17,13-Mar-20,16,Morelos,1.9428571
1,13-Mar-20,16,Aguascalientes,0.17142858
4,13-Mar-20,16,Campeche,0.057142857
13,13-Mar-20,16,Hidalgo,-0.62857145
26,13-Mar-20,16,Sonora,1.2285714
11,13-Mar-20,16,Guanajuato,-0.22857143
23,13-Mar-20,16,Quintana Roo,-0.51428574
14,13-Mar-20,16,Jalisco,2.1428571
20,13-Mar-20,16,Oaxaca,-0.77142859
22,13-Mar-20,16,Querétaro,2.8857143
18,13-Mar-20,16,Nayarit,0.91428572
7,13-Mar-20,16,Chiapas,-1.6
6,13-Mar-20,16,Colima,-2.6571429
19,13-Mar-20,16,Nuevo León,5.0571427
12,13-Mar-20,16,Guerrero,-1.5142857
29,13-Mar-20,16,Tlaxcala,1.5714285
2,13-Mar-20,16,Baja California,-2
15,13-Mar-20,16,Mex,1.9142857
24,13-Mar-20,16,San Luis Potosí,2.8857143
16,13-Mar-20,16,Michoacán,0.25714287
27,13-Mar-20,16,Tabasco,6.2285714
10,13-Mar-20,16,Durango,2.7428572
8,13-Mar-20,16,Chihuahua,4.3428574
