Country,Country_Code,2019
Mexico,MEX,127575529
Ecuador,ECU,17373662
Chile,CHL,18952038
Argentina,ARG,44938712
Bolivia,BOL,11513100
Guyana,GUY,782766
Colombia,COL,50339443
Brazil,BRA,211049527
Trinidad and Tobago,TTO,1394973
Panama,PAN,4246439
Nicaragua,NIC,6545502
Honduras,HND,9746117
Paraguay,PRY,7044636
Suriname,SUR,581372
Uruguay,URY,3461734
Peru,PER,32510453
"Venezuela",VEN,28515829
Belize,BLZ,390353
Cuba,CUB,11333483
Dominican Republic,DOM,10738958
Guatemala,GTM,16604026
Haiti,HTI,11263077
Puerto Rico,PRI,3193694
El Salvador,SLV,6453553
